File_Name,TGOS_URL,File_URL,File_Format,Description,Announcement_Date,YYY_ROC,Agency_Codes
玉山園區廁所位置圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=46e39413-84c1-4e15-913a-84b22df0ce57&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/40ff0f63-3a56-4d32-bd2c-0826d1beef75/mapdata202209070212.zip,SHP,,,111,A01030200G
玉山國家公園避難山屋點位圖(WMS),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=7629e5b3-30a9-4c2f-b1c8-1d6f4ad96f6e&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,,,111,A01030200G
玉山園區及鄰近直升機停機坪或吊掛點位坐標圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=57befa71-dcf4-4ca8-9770-3f0a78db88ec&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/87e8cdfc-be49-43e5-9be9-d24a98304f58/mapdata202110050259.zip,SHP,,,101,A01030200G
玉山園區及鄰近直升機停機坪或吊掛點位坐標圖(WMS),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=57befa71-dcf4-4ca8-9770-3f0a78db88ec&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,,,101,A01030200G
玉山國家公園山峰點位圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=88248c4b-5221-4dc1-88c7-9cd8412fe713&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/a3e30363-0dce-481b-8c49-ad8cf6240d75/mapdata202209070220.zip,SHP,,,101,A01030200G
玉山國家公園山峰點位圖(WMS),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=88248c4b-5221-4dc1-88c7-9cd8412fe713&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=3c89ef60-ff88-4052-8e58-a427ff78e8d1&VIEW_TYPE=only&SOURCE=1,WMS,,,101,A01030200G
玉山國家公園地標景點圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=e7aedb81-6412-4620-8009-b99aa20faab6&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/8d7976a3-b670-44e8-8c2f-d5dd7740e5fd/mapdata202209070228.zip,SHP,,,101,A01030200G
玉山國家公園遊客中心位置圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=f4380ee4-cd6b-4a3b-9aa0-6b3fcbe64935&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/a11f5438-31cf-4ba3-b24e-0e02ee4165cf/mapdata201909030916.zip,SHP,,,108,A01030200G
玉山國家公園簡易炊煮區及吸菸區點位圖(SHP),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=a8a7235e-fcfe-489c-bf17-6c1f5e6a8bc1&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/67d14a4b-58f0-416f-b177-c2aed95b53e6/mapdata201810150505.zip,SHP,,,107,A01030200G
陽明山國家公園計畫範圍圖(SHP)(第4次通盤檢討),https://www.tgos.tw/MDE/MetaData/CRUD/ViewMetaData?GUID=2b01ca20-6dae-40d9-93b4-8c0e6c39b442&VIEW_TYPE=only&SOURCE=1,https://www.tgos.tw:443/MDE/VirtualDir_TC/Product/abd4720a-a162-49ed-9b44-50364bb56031/mapdata202210240348.zip,SHP,行政院111年2月16日院臺建字第1100036856號函核定,111年4月8日台內營字第1110804992號公告,111,A01030300G
